antecedents,consequents,support,confidence,lift
"frozenset({'coffee cup lid', 'plastic bottle'})",frozenset({'coffee cup'}),0.21904761904761905,0.9787234042553191,2.186509732910819
"frozenset({'coffee cup', 'paper bowl'})",frozenset({'coffee cup lid'}),0.18095238095238095,0.9047619047619047,2.1839080459770113
frozenset({'coffee cup lid'}),frozenset({'coffee cup'}),0.40476190476190477,0.9770114942528735,2.1826852531181213
frozenset({'coffee cup'}),frozenset({'coffee cup lid'}),0.40476190476190477,0.9042553191489361,2.1826852531181213
"frozenset({'liquids', 'coffee cup lid'})",frozenset({'coffee cup'}),0.19047619047619047,0.975609756097561,2.179553710430721
frozenset({'coffee cup'}),"frozenset({'napkin', 'coffee cup lid'})",0.38095238095238093,0.8510638297872339,2.179553710430721
"frozenset({'napkin', 'coffee cup lid'})",frozenset({'coffee cup'}),0.38095238095238093,0.975609756097561,2.179553710430721
frozenset({'waxed food paper'}),"frozenset({'plastic wrap', 'plastic cup'})",0.1,0.7777777777777779,2.177777777777778
"frozenset({'paper bowl', 'coffee cup lid'})",frozenset({'coffee cup'}),0.18095238095238095,0.9743589743589743,2.1767594108019637
"frozenset({'coffee cup sleeve', 'food scraps'})",frozenset({'coffee cup'}),0.18095238095238095,0.9743589743589743,2.1767594108019637
frozenset({'plastic bag'}),"frozenset({'plastic container', 'coffee cup'})",0.14761904761904762,0.7560975609756098,2.1750751754092885
"frozenset({'wrapper', 'coffee cup lid'})",frozenset({'coffee cup'}),0.34285714285714286,0.9729729729729729,2.1736630247268542
frozenset({'coffee cup'}),"frozenset({'wrapper', 'coffee cup lid'})",0.34285714285714286,0.7659574468085106,2.1736630247268542
"frozenset({'paper wrapper', 'coffee cup lid'})",frozenset({'coffee cup'}),0.17142857142857143,0.9729729729729729,2.1736630247268542
"frozenset({'wrapper', 'coffee cup'})",frozenset({'coffee cup lid'}),0.34285714285714286,0.9,2.1724137931034484
frozenset({'coffee cup lid'}),"frozenset({'wrapper', 'coffee cup'})",0.34285714285714286,0.8275862068965517,2.1724137931034484
frozenset({'banana peel'}),"frozenset({'food scraps', 'wrapper'})",0.1523809523809524,0.9411764705882353,2.171945701357466
"frozenset({'plastic sauce cup', 'coffee cup lid'})",frozenset({'coffee cup'}),0.1619047619047619,0.9714285714285715,2.170212765957447
frozenset({'banana peel'}),"frozenset({'plastic lid', 'coffee cup lid'})",0.12380952380952381,0.7647058823529411,2.1701112877583464
frozenset({'banana peel'}),"frozenset({'coffee cup', 'plastic cup'})",0.12857142857142856,0.7941176470588234,2.1657754010695185
frozenset({'plastic bag'}),"frozenset({'plastic cutlery', 'food box'})",0.1523809523809524,0.7804878048780488,2.1566110397946088
"frozenset({'coffee cup lid', 'food box'})",frozenset({'coffee cup'}),0.2619047619047619,0.9649122807017545,2.1556550951847706
"frozenset({'banana peel', 'coffee cup'})",frozenset({'coffee cup lid'}),0.11904761904761904,0.8928571428571428,2.155172413793103
frozenset({'coffee cup sleeve'}),"frozenset({'coffee cup', 'plastic cup'})",0.21428571428571427,0.7894736842105263,2.1531100478468903
frozenset({'waxed food paper'}),"frozenset({'plastic wrap', 'plastic cutlery'})",0.1,0.7777777777777779,2.149122807017544
frozenset({'waxed food paper'}),"frozenset({'plastic wrap', 'wrapper'})",0.1,0.7777777777777779,2.149122807017544
frozenset({'waxed food paper'}),"frozenset({'plastic wrap', 'plastic lid'})",0.1,0.7777777777777779,2.149122807017544
"frozenset({'banana peel', 'coffee cup lid'})",frozenset({'coffee cup'}),0.11904761904761904,0.9615384615384615,2.148117839607201
"frozenset({'coffee cup sleeve', 'paper bag'})",frozenset({'coffee cup lid'}),0.11428571428571428,0.888888888888889,2.1455938697318007
